Condition,Labeling Protocol,Labeling Target,NumFoci
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,1
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,1
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,1
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,1
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
3D FISH Mock Stain Control,3D FISH,No Target,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,2
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,3
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,2
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Mock Stain Control,RASER-FISH,No Target,1
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,2
RASER-FISH Mock Stain Control,RASER-FISH,No Target,1
RASER-FISH Mock Stain Control,RASER-FISH,No Target,1
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,1
RASER-FISH Mock Stain Control,RASER-FISH,No Target,1
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,1
RASER-FISH Mock Stain Control,RASER-FISH,No Target,1
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,2
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,2
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,1
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,2
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Chromosome 19,RASER-FISH,Chromosome 19,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,1
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
RASER-FISH Mock Stain Control,RASER-FISH,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,1
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,1
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,1
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,1
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,1
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
Empty Vector Control,CRISPR-Sirius,No Target,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,2
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,2
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,0
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,1
CRISPR-Sirius XXYLT1 MCP,CRISPR-Sirius,XXYLT1,2
