Experiment,Condition,Labeling Protocol,Labeling Target,RMS,Normalized RMS,D,Normalized D
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19073465,0.963137239,2.681803499,0.992720428
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2009858,1.014901637,2.723531485,1.008166834
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21315326,1.07634267,2.766558865,1.024094235
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18034413,0.910669076,2.634146796,0.975079396
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19405974,0.979927676,2.695906276,0.997940839
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2340939,1.182084915,2.825783715,1.046017436
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19548559,0.987127674,2.701785469,1.000117134
Full 3D FISH Protocol,Live,No Protocol,No Label,0.23919442,1.207840596,2.837702123,1.050429261
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21523194,1.086839211,2.773241238,1.026567842
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21498196,1.085576907,2.772447561,1.026274047
Full 3D FISH Protocol,Live,No Protocol,No Label,0.22073898,1.114647663,2.79005195,1.032790646
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21252619,1.073176205,2.764505872,1.02333428
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20631206,1.041797219,2.743207536,1.015450297
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20198078,1.019925907,2.727309109,1.009565193
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21549325,1.088158727,2.774068009,1.026873887
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21798797,1.100756111,2.781813958,1.029741197
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19017766,0.960324652,2.679387082,0.991825946
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21163487,1.068675379,2.761557801,1.022242996
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21904087,1.106072855,2.785004119,1.030922095
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18996578,0.959254739,2.678463785,0.99148417
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20830356,1.051853534,2.750224218,1.018047655
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18415754,0.929925342,2.652271922,0.981788755
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21090281,1.064978756,2.759110045,1.021336913
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19451472,0.982225151,2.697793213,0.998639324
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20144592,1.017225068,2.725284298,1.008815671
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20526703,1.036520216,2.739452194,1.014060186
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20097183,1.014831094,2.723478108,1.008147075
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21430689,1.082168061,2.770290707,1.025475647
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2173131,1.097348275,2.779744651,1.028975203
Full 3D FISH Protocol,Live,No Protocol,No Label,0.22245617,1.123318817,2.795036154,1.034635643
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2289297,1.156007675,2.812772985,1.041201268
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19782293,0.99893035,2.71120652,1.003604514
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21723041,1.096930722,2.779489779,1.028880858
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1941699,0.980483942,2.696364083,0.998110305
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20633847,1.041930579,2.743301784,1.015485185
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16947217,0.855769825,2.578454165,0.954463712
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2207276,1.114590198,2.790018517,1.03277827
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20753714,1.047983406,2.747545472,1.017056067
Full 3D FISH Protocol,Live,No Protocol,No Label,0.17653097,0.891414072,2.615286999,0.968098084
Full 3D FISH Protocol,Live,No Protocol,No Label,0.15397379,0.777508916,2.489297158,0.921460555
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1862869,0.940677798,2.662072091,0.985416474
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1795848,0.906834749,2.63044974,0.973710861
Full 3D FISH Protocol,Live,No Protocol,No Label,0.15506347,0.783011385,2.495911929,0.923909138
Full 3D FISH Protocol,Live,No Protocol,No Label,0.15637363,0.789627193,2.503799819,0.92682899
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20080301,1.013978617,2.722832336,1.007908031
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20041698,1.012029313,2.721350547,1.007359518
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19662571,0.992884846,2.706414386,1.001830615
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18984568,0.95864828,2.67793943,0.99129007
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16751838,0.84590393,2.567826749,0.950529773
Full 3D FISH Protocol,Live,No Protocol,No Label,0.14765435,0.745598155,2.450012404,0.906918558
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18177027,0.947834223,2.641011521,0.990946265
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1660041,0.865622124,2.559463793,0.960348362
Full 3D FISH Protocol,Live,No Protocol,No Label,0.17135015,0.8934989,2.588494135,0.971240972
Full 3D FISH Protocol,Live,No Protocol,No Label,0.15208353,0.793033836,2.477708408,0.929672542
Full 3D FISH Protocol,Live,No Protocol,No Label,0.15475313,0.806954364,2.494033024,0.935797777
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20711093,1.079972139,2.74604414,1.030356045
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20262118,1.056560507,2.729715524,1.024229309
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1963942,1.024090155,2.705479618,1.015135641
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2350595,1.225708904,2.828109427,1.061148144
Full 3D FISH Protocol,Live,No Protocol,No Label,0.23080024,1.203499154,2.817598846,1.05720442
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20125927,1.049458879,2.724574483,1.022300315
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19849119,1.03502483,2.713850955,1.01827669
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20337975,1.060516042,2.732540794,1.025289392
Full 3D FISH Protocol,Live,No Protocol,No Label,0.17507736,0.912934296,2.607904724,0.978524109
Full 3D FISH Protocol,Live,No Protocol,No Label,0.17051157,0.889126156,2.584032299,0.969566825
Full 3D FISH Protocol,Live,No Protocol,No Label,0.15840495,0.825996642,2.515885273,0.943997062
Full 3D FISH Protocol,Live,No Protocol,No Label,0.17216338,0.897739457,2.592788034,0.972852106
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21852319,1.139480939,2.783441418,1.044388052
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19239435,1.003233088,2.688911743,1.008919132
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2773936,1.446458474,2.902777555,1.089164721
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19650166,1.024650501,2.705913837,1.015298567
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19570507,1.020496712,2.702681534,1.014085759
Full 3D FISH Protocol,Live,No Protocol,No Label,0.14712909,0.767199095,2.446679846,0.91803017
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19076808,0.994752964,2.681948035,1.006306246
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20828705,1.086104973,2.750166797,1.031902926
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16612674,0.866261625,2.560145167,0.960604023
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16027555,0.835750815,2.526855493,0.948113249
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1783675,0.930090607,2.624462059,0.984736665
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18151687,0.946512878,2.639799309,0.990491426
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19811277,1.033051573,2.712356144,1.017715815
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19426332,1.012978761,2.69675185,1.011860855
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1387601,0.723559312,2.392343773,0.897642478
Full 3D FISH Protocol,Live,No Protocol,No Label,0.15345716,0.800196578,2.486144065,0.932837724
Full 3D FISH Protocol,Live,No Protocol,No Label,0.15408793,0.803485704,2.489992314,0.934281644
Full 3D FISH Protocol,Live,No Protocol,No Label,0.14506537,0.756437905,2.433492766,0.913082184
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18448493,0.961989715,2.653793645,0.995742306
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18854038,0.983136706,2.672193725,1.002646286
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18127583,0.945255984,2.638643204,0.990057638
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1793931,0.935438559,2.629511771,0.986631391
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16602175,0.865714159,2.559561898,0.960385172
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18669699,0.973524419,2.66393313,0.99954679
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19344644,1.008719171,2.693346494,1.010583115
Full 3D FISH Protocol,Live,No Protocol,No Label,0.15116078,0.788222191,2.471999854,0.927530609
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1509422,0.787082414,2.470642773,0.927021412
Full 3D FISH Protocol,Live,No Protocol,No Label,0.15847588,0.826366504,2.516304053,0.944154194
Full 3D FISH Protocol,Live,No Protocol,No Label,0.13562642,0.707218856,2.371460313,0.889806698
Full 3D FISH Protocol,Live,No Protocol,No Label,0.17410505,0.907864222,2.602907725,0.976649162
